Date,P/L,P/VPA,P/FCO,ROE,LC,LPA,VPA,Adj Close,IBOV,Resultado,Decisao,Empresa
2016-12-28,13.0,0.34,0.57,2.62,2.12,0.4,15.19,0.24807695110201022,0.27801010337559795,-0.029933152273587726,0,BMEB3
2017-12-28,13.25,0.45,-0.93,3.42,2.15,0.57,16.62,0.08782734424542671,0.15032328996623123,-0.062495945720804524,0,BMEB3
2018-12-28,6.51,0.43,0.91,6.67,2.13,1.16,17.36,0.8959441302367501,0.3259526437357061,0.569991486501044,1,BMEB3
2019-12-28,5.64,0.77,0.81,13.68,1.76,2.32,16.93,0.37465557653538784,0.02159884668852019,0.35305672984686765,1,BMEB3
2020-12-28,6.25,0.95,-23.14,15.29,1.71,2.88,18.85,0.6378671490420547,-0.11916741564539568,0.7570345646874503,1,BMEB3
2012-12-28,12.75,1.83,7.26,14.38,5.8,1.71,11.89,-0.09623546405140349,-0.15889552434702714,0.06266006029562365,1,TAEE11
2013-12-28,7.03,1.46,5.29,20.74,1.63,2.59,12.5,0.10514131199163357,-0.021885423371759583,0.12702673536339315,1,TAEE11
2014-12-28,7.16,1.54,3.76,21.42,2.38,2.63,12.26,-0.0003169620018218522,-0.12725097218067605,0.1269340101788542,1,TAEE11
2015-12-28,6.34,1.32,3.42,20.78,2.06,2.64,12.71,0.41588601503544353,0.3660085915364226,0.04987742349902091,1,TAEE11
2016-12-28,8.3,1.66,4.43,20.01,1.82,2.5,12.5,0.12558640439195234,0.27801010337559795,-0.1524236989836456,0,TAEE11
2017-12-28,11.06,1.65,4.87,14.91,3.02,1.88,12.62,0.261254690979162,0.15032328996623123,0.11093140101293075,1,TAEE11
2018-12-28,7.97,1.87,7.14,23.43,2.98,3.11,13.27,0.3977751373511669,0.3259526437357061,0.07182249361546078,1,TAEE11
2019-12-28,10.71,2.18,11.99,20.33,3.58,2.91,14.3,0.21465311266274867,0.02159884668852019,0.19305426597422848,1,TAEE11
2020-12-28,5.07,1.91,10.92,37.55,2.8,6.57,17.49,0.20945445188313427,-0.11916741564539568,0.32862186752852995,1,TAEE11
2011-12-28,21.58,0.67,9.58,3.1,2.56,0.83,26.83,0.30600162428142497,0.07814766335302648,0.2278539609283985,1,GOAU4
2012-12-28,45.8,0.78,4.9,1.7,1.8,0.5,29.31,0.03260215765870922,-0.15889552434702714,0.19149768200573636,1,GOAU4
2013-12-28,42.55,0.71,5.41,1.67,2.49,0.55,32.98,-0.5189072144194282,-0.021885423371759583,-0.49702179104766864,0,GOAU4
2014-12-28,51.36,0.33,4.06,0.65,2.43,0.22,34.15,-0.8466370925778669,-0.12725097218067605,-0.7193861203971909,0,GOAU4
